vendor_id;model_id;vendor_name;model_name;year;season;car_type;auto_class;moto_type;truck_axle;production;oe;stud;green;vendor_url;model_url;photo;description_en;description_ru
56;1523;Achilles;ATR Sport;;summer;cars;premium_sport;no;no;;;;;achilles;atr_sport;achilles/atr_sport/achilles-atr_sport.1988.db.8258.jpg;"ATR sport tires are made for sport enthusiasts who are expecting a tough performance and high traction. Giving you the ultimate experience both in dry and wet handling or even drifting.";"Achilles ATR Sport — весьма интересное предложение на рынке автошин. Данные шины сочетают в себе, казалось бы, не сочетаемые характеристики: спортивный характер, энергосбережение и возможность круглогодичного использования. Рассмотрим, за счет чего инженерам удалось достичь такой универсальности данной модели шин.  <br><br> Прежде всего спортивный характер шины, который проявляется в направленном рисунке протектора, крупные блоки которого позволяют постоянно поддерживать надежный контакт с дорогой, а направленный дизайн - успешно противостоять аквапланированию. Центральное непрерывное ребро отвечает за постоянный контакт с дорожным покрытием и обеспечивает четкость управления на высокой скорости. Система канавок, состоящая из четырех непрерывных радиальных и множества дугообразных, тянущихся от центра к плечевой зоне, позволяют отводить воду и слякоть из пятна контакта, сохранять уверенный контроль на мокрой и умеренно заснеженной дороге. Шина ATR Sport выпускается с индексами скорости V (240 км/ч) и W (270 км/ч). Как отмечает специалист компании Авитех, для обеспечения безопасности движения на столь больших скоростях, был разработан специальный состав резины и прочный каркас в основе которого лежит стальная лента.  <br><br> Экономичность покрышки. Основой для заявлений об экономичности «ATR Sport» является применение при ее изготовлении технологии EcoSafe. Особенности технологии не придается широкой огласке, ведь благодаря ней шина обладает низким сопротивлением качению, что уменьшает расход топлива, а также позволяет увеличить износостойкость.  <br><br> Возможность круглогодичного использования весьма привлекательна: она позволяет экономить и на зимней резине и на шиномонтаже. По всесезонным характеристикам эта шина находится не на последнем месте. Протектор обладает достаточным процентом негативного профиля, что позволяет достичь неплохих тягово-сцепных качеств на снегу. Но нужно понимать, что эта шина не может полноценно использоваться как зимняя, и предназначена для стран с умеренным зимним климатом.  <br><br> Если вы не гонитесь за известным брендом и хотите приобрести шину, которая позволит раскрыть агрессивность Вашего стиля вождения, даст уверенность при любых погодных условиях и при этом будет еще и экономить, то возможно Achilles ATR Sport созданы именно для Вас."
56;1524;Achilles;Platinum;;all season;cars;;no;no;production;;;;achilles;platinum;achilles/platinum/achilles-platinum.1989.db.1481.jpg;"Features and Benefits: <br>-Centre Block  	Perfect controlling on wet roads <br>-Twin groove  	Maximizing power of manoeuvring <br>-Strong shoulder block  	Produces excellent power while cornering <br>-Rim guard Protection   	Provides wheel damage protection <br>-Hydro Straight  	Efficient water channelling from the straight groove in the middle to set the inner groove for inner drainage performance.";"Известный свои весьма неплохими моделями бюджетного ряда, индонезийский бренд Achilles представляет универсальную летнюю шину для легковых авто, владельцы которых предпочитают умеренный стиль вождения. Универсальную в том плане, что разработчики из дочернего подразделения Нокиан (которым и является Ахиллес) снабдили новые шины всем необходимым, чтобы на них можно было легко преодолевать не только чистый, но и покрытый снегом(!) асфальт.  <br><br> Сделав ставку на всесезонность, технологи компании смоделировали протектор с направленным рисунком, который за счёт широких межблочных канавок препятствует забивке пятна контакта грязью и снежной кашей, позволяя лучше держать сцепление на любой поверхности. Дополнительную тягу на сильно мокрой дороге отдельно обеспечивает система защиты от аквапланирования, выполненная в виде четырех продольных дорожек оптимальной глубины.  <br><br> Цельное центральное ребро за счёт лучшего контакта его поверхности с дорожным покрытием позволяет добиться более отзывчивого рулевого управления, что делает авто, оснащённое Achilles Platinum на порядок манёвренней.  <br><br> К тому же расширенная рабочая поверхность протектора шин гарантирует равномерный износ резины, а значит, прослужат Вам эти покрышки значительно дольше."
56;1525;Achilles;Desert Hawk H/T;;summer;off-road;;no;no;production;;;;achilles;desert_hawk_ht;achilles/desert_hawk_ht/achilles-desert_hawk_ht.1990.db.8078.jpg;"The Achilles DESERT HAWK H/T is All-season sport utility vehicle, pickup truck and van tyre designed to provide a combination of comfort, handling and year-round traction. Achilles Desert Hawk H/T tyres are designed for the drivers of light duty pickups and sport utility vehicle that want to enhance the sporty looks of their vehicle by combining large rim diameter wheels with wide, low profile tyres.  <br><br> They use a non directional tread design that efficiently channels water to increase water hydroplaning resistance and features raised black letter styling on both sidewalls.";"Всесезонная индонезийская шина Achilles Desert Hawk H/T создана для комфортной езды на протяжении весеннее-летнего и осеннего-зимнего сезонов. Дизайн модели подогнан под стандарты, соответствующие бесперебойной динамике вне зависимости от времени года и температуры воздуха. Адаптацию к смене погоды берут на себя многофункциональные волнистые блоки, а перемежающие их канавки позволяют выводить как летнюю дождевую воду, так и зимний талый снег.  <br><br> Внедорожная конструкция Achilles Desert Hawk H/T обеспечивает шине повышенный ресурс, крепкость боковины покрышки помогает безболезненно для колеса переносить ухабы бездорожья и выдержать другие нагрузки, характерные для мощного транспортного средства."
56;1526;Achilles;Winter 101;;winter;cars;;no;no;production;;;;achilles;w101;achilles/w101/achilles-w101.5420.db.3815.jpg;"Exactly what everyone has been looking for, to plough snowy ride with ease. Offers you the firmest braking and optimum wider grip, specially made based on unique compound for longer lasting durability.";"Превосходная зимняя шина Achilles Winter 101 объединяющая высокий уровень комфорта и безопасности на зимних дорогах. Применение передовых технологий производства при создании каркаса и резиновых смесей обеспечило шине большой запас прочности, что особо актуально для стран СНГ.  <br><br>  Особенность данной покрышки в симметричности рисунка протектора шина отлично держит дорогу даже при активной езде на больших скоростях. Жесткое неразрывное центральное ребро обеспечивает более точную управляемость и высокие скоростные характеристики. Глубокие дренажные канавки протектора протектора, а также оптимизированная система ламелей на блоках, обеспечивают в шине отличный отвод воды и снега из пятна контакта и эффективное торможение. Страна производитель Индонезия - "" Родина Каучука """
56;1530;Achilles;Multivan;;all season;commercial;;no;no;production;;;;achilles;multivan;achilles/multivan/achilles-multivan.1995.db.2644.jpg;"Features and Benefits: <br>-Four straight grooves pattern designs  	Increase water channelling <br>-Multi Tread groove design  	 Provides attraction to move up on slippery ground <br>-Broad Tread design  	Enhances longevity of tyre life <br>-Evenly distributed sipes  	Promotes the rigidness of pattern and the lasting wear of the tyre.";"Шины Achilles Multivan предназначены для работы на дорогах с покрытием хорошего качества. Эти шины отличаются минимиальным сопротивлением качению, высокой износостойкостью и низкой шумностью. Рисунок протектора имеет сплошные массивные блоки для увеличения площади пятна контакта, что увеличивает сцепление шины с покрытием и позволяет ехать в машине на высоких скоростях."
56;1531;Achilles;LTR-80;;summer;commercial;;no;no;production;;;;achilles;ltr_80;achilles/ltr_80/achilles-ltr_80.1996.db.8724.png;"Features and Benefits: <br>-Three directional twists and turns groove design  	Provides outstanding grip and when on/off road conditions like stony and muddy surfaces. <br>-Zig Zag grooves on shoulder blocks  	Improves contact performance. Excellent grip ability, good breaking performance and extended mileage, while lowering heating, wear ability and fuel economy benefits. <br>-The open shoulder designs  	Reduces shoulder heating";"Покрышки Achilles LTR-80 разработаны для эксплуатации на трассах с покрытием хорошего качества. Эти шины отличаются низким сопротивлением качению, большой износостойкостью и низкой шумностью. Рисунок протектора имеет сплошные массивные блоки для увеличения площади пятна контакта, что увеличивает сцепление шины с дорогой и позволяет ехать в машине на высоких скоростях."
56;1650;Achilles;Desert Hawk UHP;;summer;off-road;premium_sport;no;no;production;;;;achilles;achilles_desert_hawk_uhp;achilles/achilles_desert_hawk_uhp/achilles-achilles_desert_hawk_uhp.4740.db.6745.png;"The DESERT HAWK UHP is Achilles Street/Sport Truck summer tyre that provides the highest level of wet and dry traction for luxury sport utility vehicles.";"ACHILLES DESERT HAWK UHP шины, предназначенные для летней эксплуатации с дорожным рисунком протектора. Шины имеют направленный протектор, который подразумевает вращение шин только в одном направлении. Как правило, стрелообразный рисунок протектора не меняется на разных участках беговой дорожки. Такие шины обеспечивают высокий уровень сцепления с мокрой дорожной поверхностью, устойчивое движение автомобиля и низкий уровень шума. "
56;1684;Achilles;Desert Hawk A/P;;all season;off-road;;no;no;production;;;;achilles;desert_hawk_ap;achilles/desert_hawk_ap/achilles-desert_hawk_ap.4742.db.7393.png;"Exclusively designed to maximize the noise-free use of light trucks and SUVs.";"Achilles Desert Hawk A/P — шина для внедорожников и кроссоверов.  Индекс скорости данной шины — L, то есть она может разгоняться до 120 км/ч.  Индекс нагрузки — 115. Он обозначает, что грузоподъемность автомобиля, «обутого» в данные шины, составляет 1 215 килограммов.  Дизайн рисунка протектора — ненаправленный, глубокий, состоит из четырех мощных блоков.  Центральное ребро шины, которое состоит из переплетающихся друг с другом шашек, обеспечивает отличную курсовую устойчивость, уверенный прямолинейный ход.  Усиленные боковины позволяют шине выдерживать любые нагрузки и легко преодолевать многочисленные препятствия при передвижении по бездорожью.  Уменьшенное сопротивление качению уменьшает расход топлива, исходя из чего данная покрышка считается экономичной, а также повышает износостойкость шины.  "
56;1685;Achilles;Desert Hawk A/T;;summer;off-road;;no;no;production;;;;achilles;desert_hawk_at;achilles/desert_hawk_at/achilles-desert_hawk_at.10040.db.4098.jpg;"Specifically created for off-road, but still provide the best on-road performance. Unique shoulder block design will optimize the controls for easy handling when driving in off-road areas. Side protection also supports gripping on smooth or gravel road.";"Desert Hawk A/T - специально разработанные для автомобилей класса SUV шины. Благодаря отлично проработанному рисунку протектора, они позволяют уверенно чувствовать себя за рулем в городе и на шоссе. "
56;2668;Achilles;ATR Sport 2;2014;summer;cars;premium_sport;no;no;production;;;;achilles;atr_sport_2;achilles/atr_sport_2/achilles-atr_sport_2.4744.db.2327.png;"Delivering comfort to tire with high quality performance.";"Achilles ATR Sport 2 - летняя высокопроизводительная легковая шина с отличной управляемостью и повышенным комфортом в любых условиях  <br><br>  Направленный рисунок протектора - обеспечивает хорошее сцепление с дорогой на мокрой и сухой дороге  <br>  ATR Gen.2 - усовершенствованная технология Radial 2-го поколения  <br>  Тихая технология дБ - уменьшает шум  <br>  Четыре широких кольцевых канавки - превосходный отвод воды, улучшение сцепления на мокрой дороге, а также уменьшение аквапланирования  <br>  Сплошное центральное ребро - обеспечивает стабильность прямой линии для улучшения управляемости  <br>  Блокировка блока протектора - повышает курсовую устойчивость и эффективность в поворотах  <br>  Технология α ° - улучшает прохождение поворотов, самоочищается"
