id,brand,model,size,claimed_barcode,gtin_valid,prefix_match,confidence,sources
369546,FALKEN,Aklimate,185/55R16,00848983028211,True,True,prefix,
369570,FALKEN,Aklimate,205/55R17,848983028297,True,True,prefix,
369608,FALKEN,Aklimate,235/40R19,848983028600,True,True,prefix,
369614,FALKEN,Aklimate,235/50R19,848983028662,True,True,prefix,
369564,FALKEN,Aklimate,245/45R17,848983028808,True,True,prefix,
369613,FALKEN,Aklimate,245/45R19,848983028822,True,True,prefix,
369598,FALKEN,Aklimate,255/55R18,848983028945,True,True,prefix,
369629,FALKEN,Aklimate,255/55R20,848983028969,True,True,prefix,
130061,FALKEN,Azenis FK-453,215/50R17,4250427406565,True,False,none,
130108,FALKEN,Azenis FK-453,245/45R19,4250427406565,True,False,none,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGk5BoFqtP7zzhacWdOaHHaQ8n8pkLPuyjjrjIljakdAfhz9l4uRp3pXCxButp9KuSR9S1C7hNEIKk8FJ8FY1xCkHC6w60YuqouLbkDHYgEdhrYs1IqKbdUDUqjTvCb3UvLTvaG4_FylrX_nVdxh12OGaJwShVGASs=
130111,FALKEN,Azenis FK-453,255/40R19,4250427406190,True,False,none,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE9nArtJ60sJ3ZaEr3EeWLIBXm5vyiK_JnT7-MNoaIIMry54ORgbDPd82tKELRneaEV9BKhljlEKguAKCkf7c3mB83Mo62PMB1VpiWBgU8fO7bJnMYAypJHSr927bZNmkGbCMKiX7htL_cYhKs-BeF4DP9pmWrUmpyjVNb3dMQ=
130085,FALKEN,Azenis FK-453,275/40R17,4250427406565,True,False,none,
126222,FALKEN,Azenis FK453CC,275/45R19,4250427405858,True,False,none,
385976,FALKEN,Azenis FK520,275/50R20,848983031495,True,True,prefix,
80780,FALKEN,Azenis RT-615,215/40R17,848983008299,True,True,prefix,
80774,FALKEN,Azenis RT-615,215/45R16,848983008305,True,True,prefix,
81329,FALKEN,Azenis RT-615,225/45R17,848983008336,True,True,prefix,
81334,FALKEN,Azenis RT-615,235/40R18,848983008367,True,True,prefix,
80782,FALKEN,Azenis RT-615,255/40R17,848983008398,True,True,prefix,
88691,FALKEN,Azenis RT-615,295/40R18,848983008442,True,True,prefix,
324203,FALKEN,Azenis RT660,225/45R15,848983017932,True,True,prefix,
324215,FALKEN,Azenis RT660,255/40R17,848983017994,True,True,prefix,
324228,FALKEN,Azenis RT660,275/35R18,848983017857,True,True,prefix,
324216,FALKEN,Azenis RT660,275/40R17,848983018021,True,True,prefix,
324239,FALKEN,Azenis RT660,305/30R19,848983018151,True,True,prefix,
419465,FALKEN,Azenis RT660+,255/40R18,848983029379,True,True,prefix,
