brand,model,size_canonical,size_compact,load_index,speed_rating,tire_type,season,mpn,manufacturer_part_number,barcode,evidence_level,source_url
FALKEN,Aklimate,195/55R16,1955516,87,V,,,,,848983028242,verified_ai,gemini:369547
FALKEN,Aklimate,235/45R17,2354517,97,V,,,,,848983028617,verified_ai,gemini:369563
FALKEN,Aklimate,245/40R19,2454019,94,W,,,,,848983028792,verified_ai,gemini:369609
FALKEN,Aklimate,245/45R20,2454520,103,V,,,,,848983028839,verified_ai,gemini:369621
FALKEN,Aklimate,245/50R18,2455018,100,V,,,,,00848983028846,verified_ai,gemini:369593
FALKEN,Aklimate,245/55R19,2455519,103,H,,,,,848983028877,verified_ai,gemini:369618
FALKEN,Azenis FK-453,225/40R19,2254019,93,Y,,,,,4250427408873,verified_ai,gemini:191174
FALKEN,Azenis FK-453,235/30R20,2353020,88,(Y),,,,,877184007220,verified_ai,gemini:130064
FALKEN,Azenis FK-453,235/30R20,2353020,88,Y,,,,,877184007220,verified_ai,gemini:310182
FALKEN,Azenis FK-453,245/35R19,2453519,93,(Y),,,,,4250427406374,verified_ai,gemini:130112
FALKEN,Azenis FK-453,245/40R19,2454019,98,Y,,,,,4250427406466,verified_ai,gemini:130115
FALKEN,Azenis FK-453,255/30R19,2553019,91,Y,,,,,848983000460,verified_ai,gemini:310181
FALKEN,Azenis FK-453,265/30R19,2653019,93,(Y),,,,,4250427406121,verified_ai,gemini:130109
FALKEN,Azenis FK-453,285/25R20,2852520,93,Y,,,,,4250427406442,verified_ai,gemini:173324
FALKEN,Azenis FK520,275/55R19,2755519,115,V,,,,,848983031488,verified_ai,gemini:385975
FALKEN,Azenis RT-615,195/60R14,1956014,86,H,,,,,848983008251,verified_ai,gemini:80771
FALKEN,Azenis RT-615,205/40R17,2054017,84,W,,,,,877184006346,verified_ai,gemini:81324
FALKEN,Azenis RT-615,215/45R17,2154517,87,W,,,,,848983008312,verified_ai,gemini:81328
FALKEN,Azenis RT-615,245/40R18,2454018,97,W,,,,,848983008374,verified_ai,gemini:81336
FALKEN,Azenis RT-615,275/35R18,2753518,95,W,,,,,848983008428,verified_ai,gemini:80792
FALKEN,Azenis RT-615,275/40R17,2754017,98,W,,,,,848983008435,verified_ai,gemini:81335
FALKEN,Azenis RT615K+,205/40R16,2054016,83,W,,,,,848983008268,verified_ai,gemini:242865
FALKEN,Azenis RT615K+,205/40R17,2054017,84,W,,,,,848983008275,verified_ai,gemini:242871
FALKEN,Azenis RT660,205/40R16,2054016,83,W,,,,,848983018120,verified_ai,gemini:324205
FALKEN,Azenis RT660,205/40R17,2054017,84,W,,,,,848983018076,verified_ai,gemini:324207
FALKEN,Azenis RT660,225/40R18,2254018,92,W,,,,,848983017987,verified_ai,gemini:324222
FALKEN,Azenis RT660,245/35R19,2453519,93,W,,,,,848983018038,verified_ai,gemini:324232
FALKEN,Azenis RT660,245/40R18,2454018,97,W,,,,,848983017840,verified_ai,gemini:324224
FALKEN,Azenis RT660,255/35R18,2553518,94,W,,,,,848983018052,verified_ai,gemini:324225
FALKEN,Azenis RT660,255/40R18,2554018,99,W,,,,,848983017963,verified_ai,gemini:324226
FALKEN,Azenis RT660,265/35R18,2653518,97,W,,,,,848983017871,verified_ai,gemini:324227
FALKEN,Azenis RT660,315/30R19,3153019,100,W,,,,,848983017918,verified_ai,gemini:324240
FALKEN,Azenis RT660+,205/40R17,2054017,84,W,,,,,848983029300,verified_ai,gemini:419451
FALKEN,Azenis RT660+,245/40R15,2454015,88,W,,,,,848983029157,verified_ai,gemini:419447
FALKEN,Azenis RT660+,245/40R17,2454017,95,W,,,,,848983029119,verified_ai,gemini:419457
FALKEN,Azenis RT660+,265/35R18,2653518,97,W,,,,,848983029232,verified_ai,gemini:419466
FALKEN,Azenis RT660+,295/35R19,2953519,100,W,,,,,848983029386,verified_ai,gemini:419476
FALKEN,Espia EPZ Ii,215/65R16,2156516,98,T,,,,,848983006691,verified_ai,gemini:269475
FALKEN,Eurowinter HS439,185/65R15,1856515,88,T,,,,,4250427403533,verified_ai,gemini:88652
FALKEN,Eurowinter HS439,255/50R19,2555019,107,V,,,,,4250427404592,verified_ai,gemini:88678
FALKEN,FK-090,165/90R18,1659018,107,M,,,,,4250427427423,verified_ai,gemini:269160
FALKEN,FK-452,245/30R22,2453022,92,Y,,,,,0877184000481,verified_ai,gemini:80952
FALKEN,FK-452,245/40R20,2454020,99,Y,,,,,877184000528,verified_ai,gemini:80937
FALKEN,FK-452,295/30R18,2953018,94,Y,,,,,877184000580,verified_ai,gemini:80922
FALKEN,Sincera SN832A Ecorun,185/65R15,1856515,88,H,,,,,4250427412597,verified_ai,gemini:327780
FALKEN,Wildpeak (Temporary Spare),245/75R18,2457518,112,T,,,,,848983023360,verified_ai,gemini:343015
FALKEN,Wildpeak A/T Trail,225/60R18,2256018,100,H,,,,,848983017536,verified_ai,gemini:339143
FALKEN,Wildpeak A/T01,255/65R17,2556517,110,S,,,,,877184001822,verified_ai,gemini:97905
FALKEN,Wildpeak A/T01,265/70R18,2657018,116,S,,,,,877184001853,verified_ai,gemini:97911
FALKEN,Wildpeak A/T01,285/70R17,2857017,121/118,S,,,,,00848983020611,verified_ai,gemini:97909
FALKEN,Wildpeak A/T01,325/60R20,3256020,121/118,S,,,,,877184001969,verified_ai,gemini:115328
FALKEN,Wildpeak A/T01,325/70R17,3257017,121,S,,,,,877184006230,verified_ai,gemini:115318
FALKEN,Wildpeak A/T01,265/65R18,2656518,112,S,,,,,877184006650,verified_ai,gemini:115321
FALKEN,Wildpeak A/T02,285/75R16,2857516,122/119,Q,,,,,848983001399,verified_ai,gemini:132679
FALKEN,Wildpeak A/T3W,265/75R16,2657516,123/120,S,,,,,848983006462,verified_ai,gemini:309561
FALKEN,Wildpeak A/T3WA,275/55R20,2755520,113,T,,,,,848983028181,verified_ai,gemini:368272
