brand,prefix,prefix_length,region,verification_status,ingest_tier,example_barcode,source_url,mapping_flag,notes
Toledo,0000416488,10,mined,barcode_checked_crossconfirmed,hint_strong,0000416488505,,OK,mined from corpus: 11 barcodes
Grenlander,00004169,8,mined,barcode_checked_crossconfirmed,hint_strong,0000416948160,,OK,mined from corpus: 7 barcodes
Americus,0040232,7,mined,barcode_checked_crossconfirmed,hint_strong,0040232421471,,OK,mined from corpus: 180 barcodes
Aplus,04501135,8,mined,barcode_checked_crossconfirmed,hint_strong,0450113514954,,OK,mined from corpus: 12 barcodes
Aplus,045026,6,mined,barcode_checked_crossconfirmed,hint_strong,0450263757676,,OK,mined from corpus: 9 barcodes
Gripmax,045043434,9,mined,barcode_checked_crossconfirmed,hint_strong,0450434344148,,OK,mined from corpus: 8 barcodes
Kanati,04504465,8,mined,barcode_checked_crossconfirmed,hint_strong,0450446548756,,OK,mined from corpus: 6 barcodes
Prinx,045063202,9,mined,barcode_checked_crossconfirmed,hint_strong,0450632025795,,OK,mined from corpus: 5 barcodes
Roadx,045063202,9,mined,barcode_checked_crossconfirmed,hint_strong,0450632025894,,OK,mined from corpus: 5 barcodes
Zeta,045063202,9,mined,barcode_checked_crossconfirmed,hint_strong,0450632024743,,OK,mined from corpus: 6 barcodes
Forceland,045086,6,mined,barcode_checked_crossconfirmed,hint_strong,0450862673445,,OK,mined from corpus: 6 barcodes
Gripmax,045086674,9,mined,barcode_checked_crossconfirmed,hint_strong,0450866741294,,OK,mined from corpus: 7 barcodes
Rovelo,04509030,8,mined,barcode_checked_crossconfirmed,hint_strong,0450903038837,,OK,mined from corpus: 15 barcodes
Rovelo,045097370,9,mined,barcode_checked_crossconfirmed,hint_strong,0450973701372,,OK,mined from corpus: 23 barcodes
Gripmax,046044,6,mined,barcode_checked_crossconfirmed,hint_strong,0460447409574,,OK,mined from corpus: 16 barcodes
Evergreen,0461152,7,mined,barcode_checked_crossconfirmed,hint_strong,0461152709355,,OK,mined from corpus: 9 barcodes
Evergreen,046173,6,mined,barcode_checked_crossconfirmed,hint_strong,0461730712647,,OK,mined from corpus: 6 barcodes
Nama,04622368,8,mined,barcode_checked_crossconfirmed,hint_strong,0462236818864,,OK,mined from corpus: 5 barcodes
Lanvigator,04631173,8,mined,barcode_checked_crossconfirmed,hint_strong,0463117362186,,OK,mined from corpus: 6 barcodes
Lanvigator,04635139,8,mined,barcode_checked_crossconfirmed,hint_strong,0463513906809,,OK,mined from corpus: 5 barcodes
Petlas,04635279,8,mined,barcode_checked_crossconfirmed,hint_strong,0463527910120,,OK,mined from corpus: 8 barcodes
Kinforest,04653201,8,mined,barcode_checked_crossconfirmed,hint_strong,0465320113494,,OK,mined from corpus: 6 barcodes
Centara,046617,6,mined,barcode_checked_crossconfirmed,hint_strong,0466171023550,,OK,mined from corpus: 5 barcodes
