canonical_product_uid,brand,model,size_canonical,size_compact,load_index,speed_rating,tire_type,season,barcode,barcode_type,manufacturer_part_number,source_url,evidence_level,usable_for,current_status,missing_fields,field_completeness_score,harvested_at,run_id
falken_wildpeak_at3w_265_70r17_115_t_28034300,Falken,Wildpeak A/T3W,265/70R17,2657017,115,T,light_truck,all_terrain_as,848983006257,upc,28034300,https://www.tiresandwheels.com/product/tire/EC106252/Falken/28034300/Wildpeak-A/T3W_848983006257_265+70R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_rubitrek_at_265_70r17_115_t_28074576,Falken,Rubitrek A/T,265/70R17,2657017,115,T,light_truck,all_terrain,848983007933,upc,28074576,https://www.tiresandwheels.com/product/tire/EC443510/Falken/28074576_Rubitrek+A/T_848983007933_265+70R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at4w_265_70r17_115_t_28844300,Falken,Wildpeak A/T4W,265/70R17,2657017,115,T,light_truck,all_terrain_as,848983025555,upc,28844300,https://www.tiresandwheels.com/product/tire/EC485174/Falken/28844300/Wildpeak-A/T4W_848983025555_265+70R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at3w_lt265_70r17_121_118_s_28030712,Falken,Wildpeak A/T3W,LT265/70R17,2657017,121/118,S,light_truck,all_terrain_as,848983006455,upc,28030712,https://www.tiresandwheels.com/product/tire/EC106241/Falken/28030712/Wildpeak-A/T3W_848983006455_LT265+70R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at3w_lt275_70r18_125_122_s_28030703,Falken,Wildpeak A/T3W,LT275/70R18,2757018,125/122,S,light_truck,all_terrain_as,848983006493,upc,28030703,https://www.tiresandwheels.com/product/tire/EC106239/Falken/28030703/Wildpeak-A/T3W_848983006493_LT275+70R18,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at3w_lt285_70r17_116_q_59000350,Falken,Wildpeak A/T3W,LT285/70R17,2857017,116,Q,light_truck,all_terrain_as,848983011428,upc,59000350,https://www.tiresandwheels.com/product/tire/EC247606/Falken/59000350/Wildpeak-A/T3W_848983011428_LT285+70R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at3w_lt275_65r18_123_120_s_28030803,Falken,Wildpeak A/T3W,LT275/65R18,2756518,123/120,S,light_truck,all_terrain_as,848983006479,upc,28030803,https://www.tiresandwheels.com/product/tire/EC106243/Falken/28030803_Wildpeak+A/T3W_848983006479_LT275+65R18,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at3w_225_65r17_102_t_28034775,Falken,Wildpeak A/T3W,225/65R17,2256517,102,T,passenger,all_terrain_as,848983019462,upc,28034775,https://www.tiresandwheels.com/product/tire/EC301657/Falken/28034775_Wildpeak+A/T3W_848983019462_225+65R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at3w_265_65r17_116_t_28034721,Falken,Wildpeak A/T3W,265/65R17,2656517,116,T,passenger,all_terrain_as,848983006226,upc,28034721,https://www.tiresandwheels.com/product/tire/EC106259/Falken/28034721/Wildpeak-A/T3W_848983006226_265+65R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
falken_wildpeak_at02_lt245_75r16_120_116_s_28466628,Falken,Wildpeak AT02,LT245/75R16,2457516,120/116,S,light_truck,all_terrain,877184008852,upc,28466628,https://www.tiresandwheels.com/product/tire/EC442868/Falken/28466628/Wildpeak-AT02_877184008852_LT245+75R16,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
nexen_roadian_atx_265_70r17_115_t_18773nxk,Nexen,Roadian ATX,265/70R17,2657017,115,T,light_truck,all_terrain_as,191563016307,upc,18773NXK,https://www.tiresandwheels.com/product/tire/EC443391/Nexen/18773NXK/Roadian-ATX_191563016307_265+70R17,verified_1src_strong,auto_count_candidate,active_retail,,90,2026-06-22T05:30:26Z,run_20260622_001
