canonical_product_uid,brand,model,size_canonical,size_compact,barcode,barcode_type,manufacturer_part_number,source_url,missing_fields,reason,harvested_at,run_id
,kumho,,235/60R18,2356018,8808956278403,ean,,https://www.upcitemdb.com/info-kumho_tires,missing model,missing model,2026-06-23T06:03:47Z,upcitemdb_001
,nitto,,37x11.50R20,37115020,4981910537656,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:03:51Z,upcitemdb_001
,nitto,,LT285/55R20,2855520,4981910540090,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:03:51Z,upcitemdb_001
,nokian,,215/45R17,2154517,6419440424019,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:04:05Z,upcitemdb_001
,nokian,,225/50R16,2255016,6419440214443,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:04:05Z,upcitemdb_001
,sumitomo,,235/60R18,2356018,746573248318,upc,,https://www.upcitemdb.com/info-sumitomo_tires,missing model,missing model,2026-06-23T06:04:18Z,upcitemdb_001
,laufenn,,235/60R18,2356018,715459374168,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,235/40R19,2354019,715459448142,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,265/70R18,2657018,715459448401,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,225/55R17,2255517,715459373871,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,245/70R16,2457016,715459394371,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,235/55R19,2355519,715459448111,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,245/55R19,2455519,715459448418,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,225/45R19,2254519,715459539673,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,245/40R19,2454019,715459448166,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,245/45R20,2454520,715459448258,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,255/50R20,2555020,715459448265,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,255/40R18,2554018,715459387953,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,laufenn,,205/50R17,2055017,715459388110,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:04:20Z,upcitemdb_001
,radar,,35x12.50R18,35125018,8886459515126,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:04:44Z,upcitemdb_001
,radar,,33x12.50R20,33125020,8886459515133,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:04:44Z,upcitemdb_001
,radar,,35x12.50R22,35125022,8886459515188,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:04:44Z,upcitemdb_001
,federal,,195/60R15,1956015,4713959225887,ean,,https://www.upcitemdb.com/info-federal_tires,missing model,missing model,2026-06-23T06:04:51Z,upcitemdb_001
,lexani,,225/55R17,2255517,682318594220,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:04:54Z,upcitemdb_001
,lexani,,ST205/75R15,2057515,682318594770,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:04:54Z,upcitemdb_001
,lexani,,265/30R22,2653022,6921109012609,ean,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:04:54Z,upcitemdb_001
,lionhart,,275/35R24,2753524,6921109013309,ean,,https://www.upcitemdb.com/info-lionhart_tires,missing model,missing model,2026-06-23T06:04:56Z,upcitemdb_001
,kumho,,235/60R18,2356018,8808956278403,ean,8808956278403,https://www.upcitemdb.com/info-kumho_tires,missing model,missing model,2026-06-23T06:07:52Z,upcitemdb_001
,nitto,,37x11.50R20,37115020,4981910537656,ean,4981910537656,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:07:57Z,upcitemdb_001
,nitto,,LT285/55R20,2855520,4981910540090,ean,4981910540090,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:07:58Z,upcitemdb_001
,nokian,,215/45R17,2154517,6419440424019,ean,6419440424019,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:08:14Z,upcitemdb_001
