"partNumber","corpusBarcode","corpusPartNumber","brand","model","matchType"
"KH2265992","8808956277338","2265992","kumho","crugen_hp71","affix_core"
"F-28074576","848983007933","28074576","falken","rubitrek_a_t","affix_core"
"F-28827163","848983030351","28827163","falken","wildpeak_ht_ht02_hd_cv","affix_core"
"F-28814046","848983012722","28814046","falken","sincera_st80_a_s","affix_core"
"F-28291662","848983006080","28291662","falken","sincera_sn250_a_s","affix_core"
"F-28844300","848983025555","28844300","falken","wildpeak_a_t4w","affix_core"
"F-28813096","848983012760","28813096","falken","sincera_st80_a_s","affix_core"
"1029842","715459552979","1029842","hankook","dynapro_at2_xtreme_rf12","exact_pn"
"350180","4981910752981","350180","toyo","open_country_r_t","exact_pn"
"F-28294889","848983005823","28294889","falken","sincera_sn250_a_s","affix_core"
"355440","4981910529002","355440","toyo","open_country_a_t3","exact_pn"
"H1021561","715459418060","1021561","Hankook","Dynapro HP2 RA33","affix_core"
"F-28820711","848983014139","28820711","falken","wildpeak_h_t02","affix_core"
"F-28074060","848983007971","28074060","falken","rubitrek_a_t","affix_core"
"F-28816838","848983012739","28816838","falken","sincera_st80_a_s","affix_core"
"F-28815505","848983012999","28815505","falken","sincera_st80_a_s","affix_core"
"F-28813572","848983012753","28813572","falken","sincera_st80_a_s","affix_core"
"F-28813510","848983012784","28813510","falken","sincera_st80_a_s","affix_core"
"F-28074096","848983007810","28074096","falken","rubitrek_a_t","affix_core"
"F-28847307","848983025784","28847307","falken","wildpeak_a_t4w","affix_core"
"F-28070353","848983007735","28070353","falken","rubitrek_a_t","affix_core"
"KH2290033","8808956304768","2290033","kumho","road_venture_at52","affix_core"
"03504430000","051342122929","03504430000","continental","contiprocontact","exact_pn"
"F-28817517","848983012876","28817517","falken","sincera_st80_a_s","affix_core"
"360760","4981910771470","360760","toyo","open_country_m_t","exact_pn"
"F-28074522","848983007964","28074522","falken","rubitrek_a_t","affix_core"
"F-28074121","848983007926","28074121","falken","rubitrek_a_t","affix_core"
"F-28291652","848983005748","28291652","falken","sincera_sn250_a_s","affix_core"
"356440","4981910529200","356440","toyo","open_country_a_t3","exact_pn"
"F-28811700","848983012968","28811700","falken","sincera_st80_a_s","affix_core"
"F-28827616","848983014184","28827616","falken","wildpeak_h_t02","affix_core"
"F-28070394","848983007773","28070394","falken","rubitrek_a_t","affix_core"
"F-28816861","848983012906","28816861","falken","sincera_st80_a_s","affix_core"
"20A032","4711041537665","20A032","kenda","vezda_uhp_max_kr20a","exact_pn"
"F-28824713","848983014276","28824713","falken","wildpeak_h_t02","affix_core"
"F-28295334","848983010681","28295334","falken","sincera_sn250_a_s","affix_core"
"F-28962495","848983017291","28962495","falken","ziex_ze960_a_s","affix_core"
"F-28074040","848983007803","28074040","falken","rubitrek_a_t","affix_core"
"F-28814605","848983012937","28814605","falken","sincera_st80_a_s","affix_core"
"356630","4981910550518","356630","toyo","open_country_a_t_iii","exact_pn"
"110160109","721506601095","110160109","yokohama","advan_apex","exact_pn"
"KH2285573","8808956299989","2285573","kumho","solus_ta51a","affix_core"
"360310","4981910851301","360310","toyo","open_country_m_t","exact_pn"
"F-28824254","848983030382","28824254","falken","wildpeak_ht_ht02_hd_cv","affix_core"
"H1015413","715459353705","1015413","hankook","ventus_v12_evo2_k120","affix_core"
"F-28711100","848983017420","28711100","falken","wildpeak_a_t_trail","affix_core"
"F-28962671","848983016904","28962671","falken","ziex_ze960_a_s","affix_core"
