"partNumber","brand","model","corpusBarcode","chatgptBarcode","chatgptTier","result"
"KH2265992","kumho","crugen_hp71","8808956277338","8808956277338","med","AGREE (two-source verified)"
"F-28074576","falken","rubitrek_a_t","848983007933","848983007933","high","AGREE (two-source verified)"
"F-28827163","falken","wildpeak_ht_ht02_hd_cv","848983030351","848983030351","high","AGREE (two-source verified)"
"F-28814046","falken","sincera_st80_a_s","848983012722","848983012722","high","AGREE (two-source verified)"
"F-28291662","falken","sincera_sn250_a_s","848983006080","848983006080","high","AGREE (two-source verified)"
"F-28844300","falken","wildpeak_a_t4w","848983025555","848983025555","high","AGREE (two-source verified)"
"F-28813096","falken","sincera_st80_a_s","848983012760","848983012760","high","AGREE (two-source verified)"
"1029842","hankook","dynapro_at2_xtreme_rf12","715459552979","715459552979","high","AGREE (two-source verified)"
"350180","toyo","open_country_r_t","4981910752981","4981910752981","high","AGREE (two-source verified)"
"F-28294889","falken","sincera_sn250_a_s","848983005823","848983005823","high","AGREE (two-source verified)"
"355440","toyo","open_country_a_t3","4981910529002","4981910529002","high","AGREE (two-source verified)"
"H1021561","Hankook","Dynapro HP2 RA33","715459418060","690901958236","med","DISAGREE"
"F-28820711","falken","wildpeak_h_t02","848983014139","848983014139","high","AGREE (two-source verified)"
"F-28074060","falken","rubitrek_a_t","848983007971","848983007971","high","AGREE (two-source verified)"
"F-28816838","falken","sincera_st80_a_s","848983012739","848983012739","high","AGREE (two-source verified)"
"F-28815505","falken","sincera_st80_a_s","848983012999","848983012999","high","AGREE (two-source verified)"
"F-28813572","falken","sincera_st80_a_s","848983012753","848983012753","high","AGREE (two-source verified)"
"F-28813510","falken","sincera_st80_a_s","848983012784","848983012784","high","AGREE (two-source verified)"
"F-28074096","falken","rubitrek_a_t","848983007810","848983007810","high","AGREE (two-source verified)"
"F-28847307","falken","wildpeak_a_t4w","848983025784","848983025784","high","AGREE (two-source verified)"
"F-28070353","falken","rubitrek_a_t","848983007735","848983007735","high","AGREE (two-source verified)"
"KH2290033","kumho","road_venture_at52","8808956304768","8808956348359","high","DISAGREE"
"03504430000","continental","contiprocontact","051342122929","051342122929","high","AGREE (two-source verified)"
"F-28817517","falken","sincera_st80_a_s","848983012876","848983012876","high","AGREE (two-source verified)"
"360760","toyo","open_country_m_t","4981910771470","4981910771470","high","AGREE (two-source verified)"
"F-28074522","falken","rubitrek_a_t","848983007964","848983007964","high","AGREE (two-source verified)"
"F-28074121","falken","rubitrek_a_t","848983007926","848983007926","high","AGREE (two-source verified)"
"F-28291652","falken","sincera_sn250_a_s","848983005748","848983005748","high","AGREE (two-source verified)"
"356440","toyo","open_country_a_t3","4981910529200","4981910529200","high","AGREE (two-source verified)"
"F-28811700","falken","sincera_st80_a_s","848983012968","848983012968","high","AGREE (two-source verified)"
"F-28827616","falken","wildpeak_h_t02","848983014184","848983014184","high","AGREE (two-source verified)"
"F-28070394","falken","rubitrek_a_t","848983007773","848983007773","high","AGREE (two-source verified)"
"F-28816861","falken","sincera_st80_a_s","848983012906","848983012906","high","AGREE (two-source verified)"
"20A032","kenda","vezda_uhp_max_kr20a","4711041537665","4711041537665","high","AGREE (two-source verified)"
"F-28824713","falken","wildpeak_h_t02","848983014276","848983014276","high","AGREE (two-source verified)"
"F-28295334","falken","sincera_sn250_a_s","848983010681","848983010681","high","AGREE (two-source verified)"
"F-28962495","falken","ziex_ze960_a_s","848983017291","848983017291","high","AGREE (two-source verified)"
"F-28074040","falken","rubitrek_a_t","848983007803","848983007803","high","AGREE (two-source verified)"
"F-28814605","falken","sincera_st80_a_s","848983012937","848983012937","high","AGREE (two-source verified)"
"356630","toyo","open_country_a_t_iii","4981910550518","4981910550518","high","AGREE (two-source verified)"
"110160109","yokohama","advan_apex","721506601095","721506601095","high","AGREE (two-source verified)"
"KH2285573","kumho","solus_ta51a","8808956299989","8808956299989","high","AGREE (two-source verified)"
"360310","toyo","open_country_m_t","4981910851301","4981910851301","high","AGREE (two-source verified)"
"F-28824254","falken","wildpeak_ht_ht02_hd_cv","848983030382","848983030382","high","AGREE (two-source verified)"
"H1015413","hankook","ventus_v12_evo2_k120","715459353705","715459353705","med","AGREE (two-source verified)"
"F-28711100","falken","wildpeak_a_t_trail","848983017420","848983017420","high","AGREE (two-source verified)"
"F-28962671","falken","ziex_ze960_a_s","848983016904","848983016904","high","AGREE (two-source verified)"
