"shopPartNumber","corpusPartNumber","barcode","brand","model","matchType","corroboration","digitsIdentical"
"KH2265992","2265992","8808956277338","kumho","crugen_hp71","affix_core","brand+size","YES"
"F-28074576","28074576","848983007933","falken","rubitrek_a_t","affix_core","brand+size","YES"
"F-28827163","28827163","848983030351","falken","wildpeak_ht_ht02_hd_cv","affix_core","brand_only","YES"
"F-28814046","28814046","848983012722","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"F-28291662","28291662","848983006080","falken","sincera_sn250_a_s","affix_core","brand+size","YES"
"F-28844300","28844300","848983025555","falken","wildpeak_a_t4w","affix_core","brand+size","YES"
"F-28813096","28813096","848983012760","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"1029842","1029842","715459552979","hankook","dynapro_at2_xtreme_rf12","exact_pn","brand+size","YES"
"350180","350180","4981910752981","toyo","open_country_r_t","exact_pn","brand_only","YES"
"F-28294889","28294889","848983005823","falken","sincera_sn250_a_s","affix_core","brand+size","YES"
"355440","355440","4981910529002","toyo","open_country_a_t3","exact_pn","brand+size","YES"
"H1021561","1021561","715459418060","Hankook","Dynapro HP2 RA33","affix_core","brand+size","YES"
"F-28820711","28820711","848983014139","falken","wildpeak_h_t02","affix_core","brand+size","YES"
"F-28074060","28074060","848983007971","falken","rubitrek_a_t","affix_core","brand+size","YES"
"F-28816838","28816838","848983012739","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"F-28815505","28815505","848983012999","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"F-28813572","28813572","848983012753","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"F-28813510","28813510","848983012784","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"F-28074096","28074096","848983007810","falken","rubitrek_a_t","affix_core","brand+size","YES"
"F-28847307","28847307","848983025784","falken","wildpeak_a_t4w","affix_core","brand+size","YES"
"F-28070353","28070353","848983007735","falken","rubitrek_a_t","affix_core","brand+size","YES"
"KH2290033","2290033","8808956304768","kumho","road_venture_at52","affix_core","brand+size","YES"
"03504430000","03504430000","051342122929","continental","contiprocontact","exact_pn","brand+size","YES"
"F-28817517","28817517","848983012876","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"360760","360760","4981910771470","toyo","open_country_m_t","exact_pn","brand+size","YES"
"F-28074522","28074522","848983007964","falken","rubitrek_a_t","affix_core","brand+size","YES"
"F-28074121","28074121","848983007926","falken","rubitrek_a_t","affix_core","brand+size","YES"
"F-28291652","28291652","848983005748","falken","sincera_sn250_a_s","affix_core","brand+size","YES"
"356440","356440","4981910529200","toyo","open_country_a_t3","exact_pn","brand+size","YES"
"F-28811700","28811700","848983012968","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"F-28827616","28827616","848983014184","falken","wildpeak_h_t02","affix_core","brand+size","YES"
"F-28070394","28070394","848983007773","falken","rubitrek_a_t","affix_core","brand+size","YES"
"F-28816861","28816861","848983012906","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"20A032","20A032","4711041537665","kenda","vezda_uhp_max_kr20a","exact_pn","brand+size","YES"
"F-28824713","28824713","848983014276","falken","wildpeak_h_t02","affix_core","brand+size","YES"
"F-28295334","28295334","848983010681","falken","sincera_sn250_a_s","affix_core","brand+size","YES"
"F-28962495","28962495","848983017291","falken","ziex_ze960_a_s","affix_core","brand+size","YES"
"F-28074040","28074040","848983007803","falken","rubitrek_a_t","affix_core","brand+size","YES"
"F-28814605","28814605","848983012937","falken","sincera_st80_a_s","affix_core","brand+size","YES"
"356630","356630","4981910550518","toyo","open_country_a_t_iii","exact_pn","brand+size","YES"
"110160109","110160109","721506601095","yokohama","advan_apex","exact_pn","brand+size","YES"
"KH2285573","2285573","8808956299989","kumho","solus_ta51a","affix_core","brand+size","YES"
"360310","360310","4981910851301","toyo","open_country_m_t","exact_pn","brand+size","YES"
"F-28824254","28824254","848983030382","falken","wildpeak_ht_ht02_hd_cv","affix_core","brand_only","YES"
"H1015413","1015413","715459353705","hankook","ventus_v12_evo2_k120","affix_core","brand+size","YES"
"F-28711100","28711100","848983017420","falken","wildpeak_a_t_trail","affix_core","brand+size","YES"
"F-28962671","28962671","848983016904","falken","ziex_ze960_a_s","affix_core","brand+size","YES"
