"line","partNumber","description","barcode","checkDigitValid","synthesized(embedsSKU)","prefix","brand?","chatgptConf","tier","note"
"1","BH4120877","Blackhawk Ridgecrawler A/T BSW LT275/70R18 125R E","8935341208773","YES","4120877","893534","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH4120"
"2","5543069","Sailun Atrezzo SVA1 235/45R18 98V XL","6959655430691","YES","5543069","695965","5543069","high","sourced_plausible",""
"3","D10022267","Dunlop Blue Response A/S 235/45R18 98V XL","848983035226","YES","no","848983","D10022267","high","sourced_plausible",""
"4","3415030603","Fortune Perfectus FSR-602 BSW 185/60R15 84H SL","840139632105","YES","no","840139","3415030603","high","sourced_plausible",""
"5","BH4120191","Blackhawk Agility SUV BSW 235/55R19 105V XL","8935341201910","YES","4120191","893534","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH4120"
"6","9245030404","Fortune Tormenta H/T FSR-305 BSW LT245/75R16 120S E","840139633072","YES","no","840139","9245030404","high","sourced_plausible",""
"7","BH5546805","Blackhawk Street-H HH11 BSW 225/50R17 94V SL","06959655468052","NO","5546805","695965","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH5546"
"8","BH5546779","Blackhawk Street-H HH11 BSW 205/55R16 94V XL","06959655467796","NO","5546779","695965","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH5546"
"9","NX14079","Nexen Roadian GTX BSW 245/50R20 102V SL","191563020021","YES","no","191563","NX14079","high","sourced_plausible",""
"10","401VMP0005","Mileplus EcoTrail ST205/75R15 111M E","461656326270","YES","no","461656","401VMP0005","med","sourced_plausible",""
"11","BH1601012","Blackhawk Agility UHP AS 245/45R20 103Y XL","8848116010122","YES","1601012","884811","blackhawk","high","blackhawk_provisional",""
"12","F-28105023","Falken Azenis FK460 A/S BSW 245/45R20 103Y XL","00848983024695","NO","no","848983","F","high","sourced_plausible",""
"13","NX17103","Nexen Roadian HTX2 OWL 265/70R17 115T SL","191563015034","YES","no","191563","NX17103","high","sourced_plausible",""
"14","BH5546778","Blackhawk Street-H HH11 BSW 215/60R16 95H SL","06959655467789","NO","5546778","695965","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH5546"
"15","BH1602513","Blackhawk Ridgecrawler HT02 BSW 245/70R17 110T SL","8848116025133","YES","1602513","884811","blackhawk","high","blackhawk_provisional",""
"16","BH1602491","Blackhawk Ridgecrawler HT02 BSW TL LT225/75R16 115R E","8848116024914","YES","1602491","884811","blackhawk","high","blackhawk_provisional",""
"17","3634030712","Fortune Perfectus FSR-602 BSW TL 225/50R17 98V XL","840139633751","YES","no","840139","3634030712","high","sourced_plausible",""
"18","3357030504","Fortune Tormenta H/T FSR-305 BSW 275/65R18 116T SL","840139633010","YES","no","840139","3357030504","high","sourced_plausible",""
"19","3521030703","Fortune Perfectus FSR-602 BSW 205/55R16 94V XL","840139632198","YES","no","840139","3521030703","high","sourced_plausible",""
"20","PT151287","Pantera Platinum Touring A/S BSW TL 245/45R18 100V XL","841623151287","YES","151287","841623","PT151287","high","sourced_plausible",""
"21","NX17957","Nexen Roadian HTX2 BSW 275/60R20 115H SL","191563014716","YES","no","191563","NX17957","high","sourced_plausible",""
