"partNumber","description","barcode","chatgptTier","checkDigitValid","prefix"
"NX11404","Nexen CP672 BSW P215/55R18 94H SL","UNKNOWN","low","-","-"
"BH5546265","Blackhawk Street-H HU02 BSW 235/45R17 97W XL","UNKNOWN","low","-","-"
"BH1601005","Blackhawk Agility UHP AS BSW 245/40R17 95V XL","8848116010054","med","YES","884811"
"PT151997","Pantera Platinum Touring A/S BSW TL 265/35R22 102V XL","UNKNOWN","low","-","-"
"315-35-20 ARROYO","ARROYO GRAND SPORT AS 315/35R20 110W XL","841623127541","med","YES","841623"
"BH4120187","Blackhawk Agility SUV BSW 245/55R19 103V SL","8935341201873","med","YES","893534"
"9285030241","Fortune Tormenta R/T FSR-309 BSW LT285/70R17 121Q E","840139634260","high","YES","840139"
"3936030907","Fortune Viento FSR-702 BSW 255/35R19 96Y XL","840139633393","high","YES","840139"
"3543030703","Fortune Perfectus FSR-602 BSW 235/55R17 99V SL","840139632440","high","YES","840139"
"NX18737","Nexen Roadian ATX BSW 275/50R22 111H SL","191563015942","high","YES","191563"
"TH41402","Arisun Aresta A/T ZG06 BSW LT245/75R17 121S E","8859305541402","med","YES","885930"
"BH1600998","Blackhawk Agility UHP AS BSW 235/50R19 103W XL","8848116009980","med","YES","884811"
"3262030504","Fortune Tormenta H/T FSR-305 BSW 255/70R16 111T SL","840139632891","med","YES","840139"
"160180","Toyo Eclipse BSW TL 195/70R14 90S SL","UNKNOWN","low","-","-"
"V88015-2","Samson GL283A A/P 225/70R19.5 /G 128/126L","UNKNOWN","low","-","-"
"F-28105947","Falken Azenis FK460 A/S BSW 275/40R20 106Y XL","848983024763","high","YES","848983"
"BH4120860","Blackhawk Ridgecrawler A/T BSW 245/65R17 107S SL","8935341208605","med","YES","893534"
"NX17982","Nexen Roadian HTX2 245/65R17 107H XL","191563014907","high","YES","191563"
"160170","Toyo Eclipse BSW TL 185/70R14 87S SL","UNKNOWN","low","-","-"
"GY183106436","Goodyear Wrangler SR-A OWL P265/70R17 113R SL","697662038825","high","YES","697662"
"NX18776","Nexen Roadian ATX BSW 245/65R17 111T XL","191563016338","high","YES","191563"
"NT431872","NOKIAN Outpost AT BSW LT235/85R16 120S E","UNKNOWN","low","-","-"
"NT432119","Nokian Outpost APT BSW 245/55R19 103H SL","UNKNOWN","low","-","-"
"EVX2624","EVOLUXX Capricorn UHP BSW 275/25R28 99W XL","UNKNOWN","low","-","-"
"BH4120177","Blackhawk Agility SUV BSW 225/60R18 100H SL","8935341201774","med","YES","893534"
"NX11198","Nexen CP672 BSW 215/45R17 91H XL","887613119806","high","YES","887613"
"F-28814395","Falken Sincera ST80 A/S BSW 215/65R16 98T SL","848983012883","high","YES","848983"
"BH1600991","Blackhawk Agility UHP AS BSW TL 235/40R19 92W SL","8848116009911","med","YES","884811"
"BH1600990","Blackhawk Agility UHP AS BSW TL 235/40R18 95W XL","8848116009904","med","YES","884811"
"3844030907","Fortune Viento FSR-702 BSW 245/40R20 99Y XL","840139633331","high","YES","840139"
"BH1600467","Blackhawk Ridgecrawler R/T BSW 35X12.50R17/E 125Q","8848116004671","med","YES","884811"
"F-28813983","Falken Sincera ST80 A/S BSW 225/60R18 100H SL","848983012975","high","YES","848983"
"3573030609","Fortune Tormenta H/T FSR-305 BSW 255/55R20 110H XL","UNKNOWN","low","-","-"
"3346030703","Fortune Perfectus FSR-602 BSW 235/65R17 108V XL","840139632501","high","YES","840139"
