"partNumber","description","barcode","chatgptTier","checkDigitValid","prefix","provenance","validation"
"BH4120176","Blackhawk Agility SUV BSW 245/60R18 105H SL","8935341201767","high","YES","893534","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH412x prefix family confirmed)"
"BH5545886","Blackhawk HST01 Radial Trailer ST205/75R14 100N","6959655458862","high","YES","695965","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH55xx prefix family confirmed)"
"BH4120889","Blackhawk Ridgecrawler A/T BSW 35X12.50R20LT/E 121R","8935341208896","high","YES","893534","external_app_1src","pass (well-formed, prefix matches BH412x family 893534; not yet in corpus)"
"BH1602501","Blackhawk Ridgecrawler LMD TL 195/75R16C/D 107/105R","8848116025010","high","YES","884811","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH160x prefix family confirmed)"
"BH4120151","Blackhawk Agility SUV BSW 255/65R18 111T SL","8935341201514","high","YES","893534","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH412x prefix family confirmed)"
"BH4120976","Blackhawk BTR55ST All Steel Trailer 12 Ply ST225/75R15 121M","8935341209763","med","YES","893534","external_app_pattern_inferred","flag: pattern-inferred, physical-verify (app-admitted INFERENCE from Blackhawk BH412 catalog encoding, no exact listing found; check digit valid and corpus brand/model/size agree, BH412x prefix family confirmed, but identity is NOT independently source-confirmed - keep on physical-capture list until scanned)"
"1331340100","TBB TS-57 R/T 33X12.50R20LT/E 114Q","616333715612","high","YES","616333","external_app_1src","pass (well-formed, not yet in corpus; no reference TBB prefix on file to cross-check)"
"BH4120164","Blackhawk Agility SUV BSW 235/45R19 95V SL","8935341201644","high","YES","893534","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH412x prefix family confirmed)"
"PT151447","Pantera Platinum Touring A/S BSW 195/55R16 87H SL","841623151447","high","YES","841623","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Pantera 841623 prefix confirmed)"
"BH1602502","Blackhawk Ridgecrawler LMD TL 225/75R16C/E 121/120R","8848116025027","high","YES","884811","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH160x prefix family confirmed)"
"T804208008","OTR Grass Master Turf 20x8-8","655360312715","high","YES","655360","external_app_1src","pass (well-formed, not yet in corpus; no reference OTR prefix on file to cross-check)"
"NT431358","Nokian One BSW 225/55R17 97V SL","6419440423876","med","YES","641944","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Nokian 6419440 prefix confirmed)"
"NX14418","Nexen N'Fera AU7 BSW 225/45R19 96W XL","887613441808","med","YES","887613","external_app_1src","flag: alternate-identifier-noted (another catalog publishes an alternate identifier; app-verified prefix and corpus brand/model/size agree - one SKU can have multiple real GTINs per the crossmatch lesson) - pass (two-source-confirmed: corpus brand/model/size agree, Nexen 887613 prefix confirmed)"
"BH5545936","Blackhawk Hiscend-H HT01 BSW 275/65R18 116T SL","6959655459364","high","YES","695965","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH55xx prefix family confirmed)"
"LG2380","AIRLOC P332 MT TURF 15X6.00-6","810000550081","high","YES","810000","external_app_1src","pass (well-formed, prefix matches known Airloc 810000; not yet in corpus)"
"NT431170","NOKIAN One HT BSW LT225/75R16 115S E","6419440401997","high","YES","641944","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Nokian 6419440 prefix confirmed)"
"NX11404","Nexen CP672 BSW P215/55R18 94H SL","887613140404","high","YES","887613","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Nexen 887613 prefix confirmed)"
"BH5546265","Blackhawk Street-H HU02 BSW 235/45R17 97W XL","6959655462654","high","YES","695965","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH55xx prefix family confirmed)"
"BH5545885","Blackhawk HST01 Radial Trailer ST175/80R13/C 91/87N","6959655458855","high","YES","695965","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH55xx prefix family confirmed)"
"PT151997","Pantera Platinum Touring A/S BSW TL 265/35R22 102V XL","841623151997","high","YES","841623","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Pantera 841623 prefix confirmed)"
"BH4120869","Blackhawk Ridgecrawler A/T BSW TL LT285/70R17 126S E","8935341208698","high","YES","893534","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH412x prefix family confirmed)"
"NT431872","NOKIAN Outpost AT BSW LT235/85R16 120S E","6419440461267","high","YES","641944","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Nokian 6419440 prefix confirmed)"
