"partNumber","description","inferredBarcode","checkDigitValid","synthesizedFromSKU(embeds)","chatgptConfidence","provenance","status"
"BH4120176","Blackhawk Agility SUV BSW 245/60R18 105H SL","8848111201761","YES","YES(120176)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH1602504","Blackhawk Ridgecrawler HT02 BSW LT265/70R17 123S E","8848116025041","YES","YES(1602504)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH1602506","Blackhawk Ridgecrawler HT02 BSW TL 285/45R22 114H XL","8848116025065","YES","YES(1602506)","high","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH5545886","Blackhawk HST01 Radial Trailer ST205/75R14 100N","8848115458864","YES","YES(545886)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH1602522","Blackhawk Ridgecrawler HT02 BSW 275/65R18 116T SL","8848116025225","YES","YES(1602522)","high","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH1600983","Blackhawk Agility UHP AS BSW TL 225/45R19 92W SL","8848116009836","YES","YES(1600983)","high","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH4120151","Blackhawk Agility SUV BSW 255/65R18 111T SL","8848111201518","YES","YES(120151)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH4120164","Blackhawk Agility SUV BSW 235/45R19 95V SL","8848111201648","YES","YES(120164)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH1602531","Blackhawk Ridgecrawler HT02 BSW LT245/75R17 121S E","8848116025317","YES","YES(1602531)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH5545936","Blackhawk Hiscend-H HT01 BSW *** Clearance 275/65R18 116T SL","8848115459366","YES","YES(545936)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH1602516","Blackhawk Ridgecrawler HT02 BSW LT245/75R16 120R E","8848116025164","YES","YES(1602516)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH5545885","Blackhawk HST01 Radial Trailer ST175/80R13/C 91/87N","8848115458857","YES","YES(545885)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH4120869","Blackhawk Ridgecrawler A/T BSW TL LT285/70R17 126S E","8848111208692","YES","YES(120869)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH4120166","Blackhawk Agility SUV BSW 235/60R17 102H SL","8848111201662","YES","YES(120166)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH5546785","Blackhawk Street-H HH11 BSW 205/65R15 94H SL","8848115467859","YES","YES(546785)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
"BH4120881","Blackhawk Ridgecrawler A/T BSW TL 275/60R20 115T SL","8848111208814","YES","YES(120881)","med","ai_inferred_synthesized","PROVISIONAL - VERIFY ON PHYSICAL SCAN before trusting"
