brand,prefix,prefix_length,region,verification_status,ingest_tier,example_barcode,source_url,mapping_flag,notes
Fronway,00004164861,11,mined,barcode_checked_crossconfirmed,hint_strong,0000416486129,,OK,mined from corpus: 2 barcodes
Toledo,0000416488,10,mined,barcode_checked_crossconfirmed,hint_strong,0000416488505,,OK,mined from corpus: 11 barcodes
Grenlander,00004169,8,mined,barcode_checked_crossconfirmed,hint_strong,0000416948160,,OK,mined from corpus: 7 barcodes
Headway,045000,6,mined,barcode_checked_crossconfirmed,hint_strong,0450000518638,,OK,mined from corpus: 2 barcodes
Aplus,04501135,8,mined,barcode_checked_crossconfirmed,hint_strong,0450113514954,,OK,mined from corpus: 12 barcodes
Aplus,045026,6,mined,barcode_checked_crossconfirmed,hint_strong,0450263757676,,OK,mined from corpus: 9 barcodes
Gripmax,045043434,9,mined,barcode_checked_crossconfirmed,hint_strong,0450434344148,,OK,mined from corpus: 8 barcodes
Roadx,0450434344,10,mined,barcode_checked_crossconfirmed,hint_strong,0450434344056,,OK,mined from corpus: 3 barcodes
Kanati,04504465,8,mined,barcode_checked_crossconfirmed,hint_strong,0450446548756,,OK,mined from corpus: 6 barcodes
Prinx,045063202,9,mined,barcode_checked_crossconfirmed,hint_strong,0450632025795,,OK,mined from corpus: 5 barcodes
Roadx,045063202,9,mined,barcode_checked_crossconfirmed,hint_strong,0450632025894,,OK,mined from corpus: 5 barcodes
Zeta,045063202,9,mined,barcode_checked_crossconfirmed,hint_strong,0450632024743,,OK,mined from corpus: 6 barcodes
Linglong,045065195,9,mined,barcode_checked_crossconfirmed,hint_strong,0450651953802,,OK,mined from corpus: 4 barcodes
Prinx,045069367,9,mined,barcode_checked_crossconfirmed,hint_strong,0450693677674,,OK,mined from corpus: 2 barcodes
Forceland,045086,6,mined,barcode_checked_crossconfirmed,hint_strong,0450862673445,,OK,mined from corpus: 6 barcodes
Prinx,045086267,9,mined,barcode_checked_crossconfirmed,hint_strong,0450862676644,,OK,mined from corpus: 2 barcodes
Gripmax,045086674,9,mined,barcode_checked_crossconfirmed,hint_strong,0450866741294,,OK,mined from corpus: 7 barcodes
Rovelo,04509030,8,mined,barcode_checked_crossconfirmed,hint_strong,0450903038837,,OK,mined from corpus: 15 barcodes
Samson,045090304,9,mined,barcode_checked_crossconfirmed,hint_strong,0450903041516,,OK,mined from corpus: 2 barcodes
Linglong,04509387,8,mined,barcode_checked_crossconfirmed,hint_strong,0450938726198,,OK,mined from corpus: 2 barcodes
Rovelo,045097370,9,mined,barcode_checked_crossconfirmed,hint_strong,0450973701372,,OK,mined from corpus: 23 barcodes
Riken,04600534828,11,mined,barcode_checked_crossconfirmed,hint_strong,0460053482831,,OK,mined from corpus: 2 barcodes
Gripmax,046044,6,mined,barcode_checked_crossconfirmed,hint_strong,0460447409574,,OK,mined from corpus: 16 barcodes
Samson,046047,6,mined,barcode_checked_crossconfirmed,hint_strong,0460473269128,,OK,mined from corpus: 2 barcodes
Bearway,0460476,7,mined,barcode_checked_crossconfirmed,hint_strong,0460476497832,,OK,mined from corpus: 3 barcodes
Riken,046055996,9,mined,barcode_checked_crossconfirmed,hint_strong,0460559963117,,OK,mined from corpus: 2 barcodes
Riken,0461110,7,mined,barcode_checked_crossconfirmed,hint_strong,0461110058068,,OK,mined from corpus: 2 barcodes
Evergreen,0461152,7,mined,barcode_checked_crossconfirmed,hint_strong,0461152709355,,OK,mined from corpus: 9 barcodes
Eldorado,046166,6,mined,barcode_checked_crossconfirmed,hint_strong,0461662152597,,OK,mined from corpus: 4 barcodes
Evergreen,046173,6,mined,barcode_checked_crossconfirmed,hint_strong,0461730712647,,OK,mined from corpus: 6 barcodes
Nama,04622368,8,mined,barcode_checked_crossconfirmed,hint_strong,0462236818864,,OK,mined from corpus: 5 barcodes
Lanvigator,04631173,8,mined,barcode_checked_crossconfirmed,hint_strong,0463117362186,,OK,mined from corpus: 6 barcodes
Lanvigator,04635139,8,mined,barcode_checked_crossconfirmed,hint_strong,0463513906809,,OK,mined from corpus: 5 barcodes
Petlas,04635279,8,mined,barcode_checked_crossconfirmed,hint_strong,0463527910120,,OK,mined from corpus: 8 barcodes
Kinforest,04653201,8,mined,barcode_checked_crossconfirmed,hint_strong,0465320113494,,OK,mined from corpus: 6 barcodes
Centara,046617,6,mined,barcode_checked_crossconfirmed,hint_strong,0466171023550,,OK,mined from corpus: 5 barcodes
Zenna,04666505,8,mined,barcode_checked_crossconfirmed,hint_strong,0466650503078,,OK,mined from corpus: 8 barcodes
Hifly,0613365,7,mined,barcode_checked_crossconfirmed,hint_strong,0613365648253,,OK,mined from corpus: 5 barcodes
Powertrac,06363132,8,mined,barcode_checked_crossconfirmed,hint_strong,0636313203472,,OK,mined from corpus: 3 barcodes
Kpatos,0636313316,10,mined,barcode_checked_crossconfirmed,hint_strong,0636313316585,,OK,mined from corpus: 13 barcodes
Roadcruza,06363133224,11,mined,barcode_checked_crossconfirmed,hint_strong,0636313322401,,OK,mined from corpus: 2 barcodes
Sailun,064112635,9,mined,barcode_checked_crossconfirmed,hint_strong,0641126352682,,OK,mined from corpus: 21 barcodes
Rapid,0645890,7,mined,barcode_checked_crossconfirmed,hint_strong,0645890685625,,OK,mined from corpus: 2 barcodes
Cordovan,06458907,8,mined,barcode_checked_crossconfirmed,hint_strong,0645890705736,,OK,mined from corpus: 6 barcodes
Blacklion,06458907,8,mined,barcode_checked_crossconfirmed,hint_strong,0645890737638,,OK,mined from corpus: 11 barcodes
Nankang,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537787095,,OK,mined from corpus: 6 barcodes
Goodride,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537508003,,OK,mined from corpus: 25 barcodes
Fuzion,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537508607,,OK,mined from corpus: 9 barcodes
Nama,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537524270,,OK,mined from corpus: 11 barcodes
Doral,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537504326,,OK,mined from corpus: 31 barcodes
Dcenti,0669168904,10,mined,barcode_checked_crossconfirmed,hint_strong,0669168904584,,OK,mined from corpus: 4 barcodes
Doral,06823185,8,mined,barcode_checked_crossconfirmed,hint_strong,0682318580070,,OK,mined from corpus: 8 barcodes
Sumic,0682318568,10,mined,barcode_checked_crossconfirmed,hint_strong,0682318568474,,OK,mined from corpus: 3 barcodes
Zeetex,0682318620,10,mined,barcode_checked_crossconfirmed,hint_strong,0682318620516,,OK,mined from corpus: 6 barcodes
Lande,0686162903,10,mined,barcode_checked_crossconfirmed,hint_strong,0686162903412,,OK,mined from corpus: 7 barcodes
Dean,069067731,9,mined,barcode_checked_crossconfirmed,hint_strong,0690677315509,,OK,mined from corpus: 2 barcodes
Rolling Big Power Tires,06939801740,11,mined,barcode_checked_crossconfirmed,hint_strong,0693980174016,,OK,mined from corpus: 2 barcodes
Jinyu,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449485296,,OK,mined from corpus: 14 barcodes
Boto,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449483704,,OK,mined from corpus: 6 barcodes
Constancy,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449491020,,OK,mined from corpus: 3 barcodes
Sunfull,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449495981,,OK,mined from corpus: 7 barcodes
Sumic,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449569705,,OK,mined from corpus: 10 barcodes
Geostar,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449499828,,OK,mined from corpus: 2 barcodes
Roadstone,069644963,9,mined,barcode_checked_crossconfirmed,hint_strong,0696449630153,,OK,mined from corpus: 6 barcodes
Fury,069661209,9,mined,barcode_checked_crossconfirmed,hint_strong,0696612097660,,OK,mined from corpus: 61 barcodes
Ohtsu,071477061,9,mined,barcode_checked_crossconfirmed,hint_strong,0714770614700,,OK,mined from corpus: 3 barcodes
Triangle,0714770701,10,mined,barcode_checked_crossconfirmed,hint_strong,0714770701752,,OK,mined from corpus: 15 barcodes
Nankang,0721749,7,mined,barcode_checked_crossconfirmed,hint_strong,0721749029304,,OK,mined from corpus: 11 barcodes
Neoterra,0721749,7,mined,barcode_checked_crossconfirmed,hint_strong,0721749011200,,OK,mined from corpus: 10 barcodes
Lexani,072439113,9,mined,barcode_checked_crossconfirmed,hint_strong,0724391130206,,OK,mined from corpus: 9 barcodes
Ohtsu,0724391159,10,mined,barcode_checked_crossconfirmed,hint_strong,0724391159511,,OK,mined from corpus: 5 barcodes
Amp,0729419,7,mined,barcode_checked_crossconfirmed,hint_strong,0729419094553,,OK,mined from corpus: 66 barcodes
Dean,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569434107,,OK,mined from corpus: 4 barcodes
Presa,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569425662,,OK,mined from corpus: 14 barcodes
Rapid,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569563319,,OK,mined from corpus: 2 barcodes
Blacklion,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569447664,,OK,mined from corpus: 11 barcodes
Dcenti,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569450428,,OK,mined from corpus: 9 barcodes
Evoluxx,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569401789,,OK,mined from corpus: 19 barcodes
Linglong,07335696,8,mined,barcode_checked_crossconfirmed,hint_strong,0733569610235,,OK,mined from corpus: 2 barcodes
Kanati,0737245,7,mined,barcode_checked_crossconfirmed,hint_strong,0737245139805,,OK,mined from corpus: 28 barcodes
Westlake,07413170,8,mined,barcode_checked_crossconfirmed,hint_strong,0741317030488,,OK,mined from corpus: 6 barcodes
Kelly,07413179,8,mined,barcode_checked_crossconfirmed,hint_strong,0741317964479,,OK,mined from corpus: 190 barcodes
Fierce,074131795,9,mined,barcode_checked_crossconfirmed,hint_strong,0741317958652,,OK,mined from corpus: 4 barcodes
Douglas,074131796,9,mined,barcode_checked_crossconfirmed,hint_strong,0741317962901,,OK,mined from corpus: 41 barcodes
Vitour,074146662,9,mined,barcode_checked_crossconfirmed,hint_strong,0741466626020,,OK,mined from corpus: 3 barcodes
Vanderbilt,0741466620,10,mined,barcode_checked_crossconfirmed,hint_strong,0741466620820,,OK,mined from corpus: 5 barcodes
Rapid,0741466645,10,mined,barcode_checked_crossconfirmed,hint_strong,0741466645434,,OK,mined from corpus: 2 barcodes
Lionhart,074242797,9,mined,barcode_checked_crossconfirmed,hint_strong,0742427977434,,OK,mined from corpus: 8 barcodes
Cordovan,0746573,7,mined,barcode_checked_crossconfirmed,hint_strong,0746573179216,,OK,mined from corpus: 9 barcodes
Multimile,0746573,7,mined,barcode_checked_crossconfirmed,hint_strong,0746573200668,,OK,mined from corpus: 17 barcodes
Advanta,07465732,8,mined,barcode_checked_crossconfirmed,hint_strong,0746573224213,,OK,mined from corpus: 107 barcodes
Sumitomo,07465732,8,mined,barcode_checked_crossconfirmed,hint_strong,0746573225142,,OK,mined from corpus: 7 barcodes
Constancy,0753760792,10,mined,barcode_checked_crossconfirmed,hint_strong,0753760792530,,OK,mined from corpus: 4 barcodes
Rolling Big Power Tires,0757558743,10,mined,barcode_checked_crossconfirmed,hint_strong,0757558743032,,OK,mined from corpus: 3 barcodes
Winda,075839986,9,mined,barcode_checked_crossconfirmed,hint_strong,0758399865044,,OK,mined from corpus: 7 barcodes
Freestar,0762530,7,mined,barcode_checked_crossconfirmed,hint_strong,0762530117329,,OK,mined from corpus: 10 barcodes
Lexani,0765105499,10,mined,barcode_checked_crossconfirmed,hint_strong,0765105499806,,OK,mined from corpus: 5 barcodes
Versatyre,0779283231,10,mined,barcode_checked_crossconfirmed,hint_strong,0779283231509,,OK,mined from corpus: 21 barcodes
Deestone,0782731718,10,mined,barcode_checked_crossconfirmed,hint_strong,0782731718217,,OK,mined from corpus: 3 barcodes
Mrf,081002282,9,mined,barcode_checked_crossconfirmed,hint_strong,0810022828427,,OK,mined from corpus: 6 barcodes
