brand,prefix,prefix_length,region,verification_status,ingest_tier,example_barcode,source_url,mapping_flag,notes
Michelin,086699,6,US / North America,barcode_checked,hint_strong,086699220585,,OK,Parent company GS1 prefix NA
Michelin,352870,6,Europe / Global,ai_asserted_no_barcode,hint_weak,1 EU Allocation,,OK,Parent company GS1 prefix EU
BFGoodrich,086699,6,US / North America,barcode_checked,hint_strong,086699091000,,OK,"Owned by Michelin, shares NA prefix"
Uniroyal (US),086699,6,US / North America,barcode_checked,hint_strong,086699142948,,OK,Owned by Michelin NA
Kleber,352870,6,Europe,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Michelin EU
Tigar,352870,6,Europe,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Michelin
Riken,352870,6,Europe,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Michelin
Kormoran,352870,6,Europe,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Michelin
Goodyear,069766,6,US / North America,barcode_INVALID,review_before_use,069766215826,,NEEDS_MANUAL_REVIEW,Parent company GS1 prefix
Dunlop,069766,6,US / North America,barcode_checked,hint_strong,697662104834,,OK,"NA rights owned by Goodyear, uses Goodyear prefix"
Kelly,069766,6,US / North America,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Goodyear
Debica,069766,6,Europe,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Goodyear
Sava,069766,6,Europe,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Goodyear
Fulda,069766,6,Europe,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Goodyear
Fierce,069766,6,US / North America,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Goodyear
Cooper,029142,6,US / North America,barcode_checked,hint_strong,029142753568,,OK,Parent company GS1 prefix
Mastercraft,029142,6,US / North America,barcode_checked_crossconfirmed,hint_strong,029142694212,https://www.barcodespider.com/029142694212,OK,Owned by Cooper
Starfire,029142,6,US / North America,barcode_checked_crossconfirmed,hint_strong,029142933168,https://www.amazon.com/Starfire-Solarus-Season-Radial-Tire-LT215/dp/B07Y7342PX,OK,Owned by Cooper
Roadmaster,029142,6,US / North America,ai_asserted_no_barcode,review_before_use,,,POSSIBLE_PARENT_MISMATCH,Owned by Cooper (Commercial)
Mickey Thompson,0787025,7,US / North America,barcode_checked,hint_strong,0787025497922,,OK,"Owned by Cooper, separate prefix"
Dick Cepek,0787025,7,US / North America,ai_asserted_no_barcode,hint_weak,,,OK,"Owned by Cooper, shares Mickey Thompson prefix"
Avon Tyres,029142,6,UK / Global,ai_asserted_no_barcode,hint_weak,,,OK,Owned by Cooper
Bridgestone,092971,6,US / North America,barcode_checked,hint_strong,092971263164,,OK,Parent company GS1 prefix NA
